56975
4877	16	81207
46678	2	49464
9416	16	112162
12201	15	129649
17946	19	166561
39323	4	47283
10274	18	118096
40908	5	52181
20278	20	181105
18494	19	87746
8327	19	105278
10999	21	122247
36736	8	51116
4153	17	75115
23096	11	69559
23949	13	67762
19053	17	173403
20079	19	179725
39790	7	318
7403	22	33307
4818	19	80792
40806	5	59064
19515	20	175863
5643	19	86921
37919	7	891
19729	15	177402
15990	18	154845
24437	13	68761
40334	5	50578
14202	15	143106
37714	8	52495
18989	20	172909
35862	6	50441
36581	4	44693
21991	7	3463
36908	4	45011
26907	11	64196
26557	11	63425
40550	8	58286
27296	12	65005
12765	19	99407
13951	19	141139
14460	19	81036
23613	13	67043
29540	1	25793
5968	19	89195
11747	20	126301
46528	3	59698
19782	19	156933
11840	22	33354
6752	19	94979
33830	5	51526
4688	18	79416
11339	17	124620
29636	1	25861
18256	20	59729
10255	20	117941
8548	22	33325
5009	19	82074
8437	15	106096
20191	17	180513
19337	17	174918
35189	9	50494
30180	1	26252
5582	19	86443
10499	19	119516
19618	18	176675
4317	17	76395
37518	5	58292
21808	17	191670
17247	19	161915
16529	17	158233
7745	16	101183
41781	3	50722
15884	15	154161
18688	19	170877
9860	17	115034
5812	20	86952
37466	7	51
21501	16	189021
19999	19	119410
38787	5	53550
8257	21	104772
8499	19	84179
34154	7	488
9341	19	111669
39475	4	47414
23014	11	67271
35589	9	50413
33756	4	41991
9018	21	109444
13592	20	138156
7724	20	60771
19275	17	174659
14176	16	142972
19508	19	162447
18183	22	33403
7769	19	94951
15359	17	151021
6998	15	96591
34235	8	52563
42550	3	51569
17068	15	161036
20505	22	33420
20492	16	182238
40659	7	1119
18926	19	110444
8241	15	104654
8312	17	105186
11920	19	127830
28504	0	23040
22394	14	70844
11238	20	123904
15861	17	154009
4853	20	80960
29961	1	26067
8861	19	87876
39407	6	50397
9131	22	33329
6151	15	90966
16732	18	159426
13861	20	140487
41802	2	49435
6316	19	88866
11974	21	128207
20543	17	182494
18902	15	172328
33475	7	6
8638	19	96334
21521	19	118903
5987	17	89630
4121	19	74839
13615	18	138804
20825	16	184356
10673	20	52154
15280	20	150448
12856	17	133595
19952	19	89122
13218	19	136056
38630	4	46642
12696	25	132715
7794	15	101418
5634	17	86848
22618	14	71319
13740	19	139694
8095	20	103473
5968	19	89287
41356	5	57710
35184	6	50397
35844	4	43990
47361	3	60812
12187	17	129579
20370	20	61983
13541	19	88553
34510	5	52494
9103	17	110014
16821	19	159869
46175	3	50787
14966	19	109442
20708	15	183535
40779	4	48621
7457	15	99544
8325	18	105260
13595	17	138710
4533	21	78216
15438	15	151538
35503	10	49439
7250	19	97855
35034	8	53790
41649	8	52128
46921	3	60238
11478	16	125566
13052	19	135034
6830	20	94478
10103	19	90813
11935	17	127929
21347	19	187776
6318	16	92100
10816	17	121271
41946	2	49462
10484	20	52154
48701	3	62550
19593	15	176491
16758	22	33386
6921	20	53814
10690	16	120584
7552	20	100117
18058	19	167327
5381	19	84716
31072	11	72526
15566	22	33383
11998	21	128383
29807	1	25953
38358	8	51552
19404	19	175204
48509	3	51060
18230	24	168351
4511	19	78034
22227	7	3603
24272	13	68397
5968	19	89416
16120	18	155573
15398	20	151195
21054	19	105305
18774	18	171441
17319	16	162268
20498	19	107939
10451	16	119240
12955	17	134305
39813	5	51126
38166	6	50397
38896	6	50441
14767	18	146988
20196	16	180542
35268	9	50423
18491	17	169581
13740	19	139574
6227	16	91565
16016	22	33365
5492	21	85701
18826	20	171749
35244	7	887
23094	11	68469
22401	11	70862
17373	19	129894
14218	15	143177
16849	22	33387
37511	4	45590
20329	15	181400
10049	17	116346
3668	15	163462
13392	21	137478
46590	3	54085
12929	16	134096
9747	17	114264
38475	4	46507
6037	19	90052
12303	19	130335
14630	21	146017
8793	15	108140
20938	16	185110
7156	15	97616
13488	19	92021
10516	18	119625
5699	17	87252
9582	19	113271
19582	18	176411
37649	5	58514
33912	5	51782
6128	21	90784
48511	3	53581
39447	4	47386
19677	19	125050
29317	1	25623
21526	19	189218
3532	17	110699
10276	17	118110
20627	15	182980
22339	7	3678
10130	15	117074
33585	6	50397
10500	19	119526
7658	19	96762
14243	16	143311
19785	19	177776
6346	22	33294
19488	21	175743
12593	23	32579
40948	4	48768
20536	19	93227
12762	20	50921
9492	16	112623
13075	20	135154
25193	11	64231
16784	15	159680
21578	20	188796
38346	6	50397
12968	19	134409
20091	20	62441
12997	19	81102
17686	19	84295
12809	19	92995
7459	19	98264
12605	23	32583
7575	17	100276
40307	7	3144
37771	4	45842
5026	18	82196
9906	19	95613
15274	19	82258
7634	22	33311
35746	5	55174
13832	19	140332
18390	23	32965
4502	15	77943
38943	6	50397
38330	7	2431
17638	18	164415
27771	12	65915
20149	17	180203
18247	19	95179
40044	8	61625
6994	22	33290
18341	22	33404
35917	5	55496
15810	18	153666
12249	18	129950
18184	25	168138
38994	8	60305
17373	18	162623
7686	20	60771
14155	21	142846
30458	11	71925
12229	18	129806
40055	5	55305
35323	6	50397
18337	19	101573
21301	16	187394
23839	11	67515
10462	15	119295
17429	22	33348
37161	5	57633
27974	12	66302
18535	16	169863
13855	15	140489
37246	8	53436
14685	18	146428
17276	19	162068
10272	18	118077
25121	11	64519
11353	21	124704
38571	8	50563
9107	20	109915
41486	8	52323
8777	23	32219
13498	16	138208
8996	19	90652
7238	17	98143
35721	5	55129
6576	15	93746
9260	18	111075
14272	20	143494
28475	1	25009
5406	18	84934
5991	20	89661
8456	25	106218
13081	20	135154
8529	24	106630
39477	5	60870
14490	21	145028
36802	6	50397
19187	22	33374
14150	17	142814
33642	7	152
18208	20	59729
47710	3	53257
13352	21	137205
15715	16	153022
10505	18	119557
27052	11	64497
10211	19	117652
5260	19	83972
21625	19	190064
20017	19	127932
9586	19	113299
7598	16	100415
43524	3	54428
18688	19	170876
21393	21	188122
37838	8	53047
15677	19	96778
21701	21	190761
17316	19	161600
13912	19	140882
33734	6	50397
13161	16	135653
10073	15	116684
13886	19	139339
8696	19	87198
14981	17	148453
35286	7	912
8549	20	58658
2817	22	33314
16424	15	157503
9237	17	110911
9682	19	113884
33887	7	321
7406	15	99246
38089	9	50405
16406	15	157393
36096	6	50397
33717	6	50397
9924	21	115478
39674	6	50397
39557	8	54258
21800	20	190688
18778	19	171471
8503	25	106484
16611	18	158777
15756	19	90776
7228	17	98064
20825	19	124231
17330	16	162326
34821	8	51244
9920	15	115455
21355	21	187841
5762	22	33275
3982	17	73732
16869	16	160087
7738	25	101150
48714	3	62564
18662	19	170672
13458	16	137930
20707	21	183526
20069	19	179659
4837	20	80955
8325	19	105266
12423	21	131143
16887	19	160186
14987	19	122181
20702	16	183492
35871	9	50423
29073	1	25385
15741	21	153205
23756	11	67331
6372	19	84527
14982	19	148463
10457	19	119276
5989	17	89644
40792	4	48633
21588	20	188796
16605	20	158692
10979	19	87550
28545	0	23062
39890	7	1432
4014	19	73983
13407	18	137591
14746	19	146847
12202	22	33357
16928	22	33338
19537	16	176096
21646	19	190253
14426	15	144601
19271	20	60013
7064	17	97041
41168	5	62882
4397	19	77058
15391	20	151195
29783	1	25637
15805	21	153629
27660	11	65701
36929	8	51813
11258	19	81713
14132	21	142694
18037	19	93268
10438	19	99501
34916	5	53546
11454	19	87060
7603	16	100439
9640	17	113629
8345	19	105400
13414	19	88770
11042	15	122550
17928	19	166436
5554	16	86223
5861	16	88233
37504	10	49418
41495	4	49234
10005	21	116031
11729	22	33354
9579	18	113250
29311	0	22960
38096	6	50397
45712	3	58492
5315	22	33273
17753	21	165203
19444	19	175463
13527	19	138361
12288	19	130227
34440	5	52499
8457	23	32008
8494	25	106441
13099	15	135350
23647	13	67125
7709	19	101001
20737	21	183774
7877	19	100396
41387	4	49132
17417	22	33348
34014	7	421
8610	24	107104
5582	18	86440
39716	4	47641
8931	19	108913
10353	18	118679
6058	17	90233
10126	22	33340
14846	19	89527
7411	22	33308
8792	24	108134
8560	17	106813
34325	7	547
4131	15	74915
7963	17	102581
6315	22	33294
20951	18	185189
36136	4	44274
20964	16	185272
10322	17	118459
40126	8	51124
13810	20	140112
18260	22	33403
2496	22	33404
21577	15	189649
13546	16	138460
27606	11	65606
9747	19	114266
20228	16	180783
16965	20	55483
10703	19	120661
11622	19	126458
